epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,2580.54,1.00363,1.94585,0.93148,0.93435,0.98958,0.96341,0.75016,0.61615,26.7105,0.61428,0.000382115,0.000382115,0.000382115
113,2602.87,0.97309,1.95885,0.91236,0.934,0.98958,0.9618,0.74327,0.63867,27.3297,0.61668,0.000372683,0.000372683,0.000372683
114,2624.93,1.01564,1.91903,0.90929,0.934,0.98958,0.9618,0.74327,0.63867,27.3297,0.61668,0.000363252,0.000363252,0.000363252
115,2646.86,0.97123,1.90716,0.92253,0.93785,0.99081,0.9635,0.72643,0.67014,26.9363,0.62102,0.00035382,0.00035382,0.00035382
116,2668.88,0.98862,1.86998,0.91498,0.93492,0.99194,0.96389,0.72881,0.66748,26.0629,0.61887,0.000344389,0.000344389,0.000344389
117,2691.03,0.98106,2.1387,0.92461,0.93492,0.99194,0.96389,0.72881,0.66748,26.0629,0.61887,0.000334958,0.000334958,0.000334958
118,2712.97,1.04844,2.06759,0.9005,0.93179,1,0.96336,0.74042,0.64634,24.1545,0.61436,0.000325526,0.000325526,0.000325526
119,2735.32,0.89923,1.9418,0.89822,0.93114,0.99448,0.96549,0.74267,0.61545,23.1927,0.61034,0.000316095,0.000316095,0.000316095
120,2757.49,0.96095,1.86257,0.92184,0.93114,0.99448,0.96549,0.74267,0.61545,23.1927,0.61034,0.000306663,0.000306663,0.000306663
121,2779.73,0.9418,2.08447,0.91347,0.9321,0.98864,0.96779,0.76138,0.59604,24.256,0.60966,0.000297232,0.000297232,0.000297232
122,2801.88,0.9014,2.05495,0.89214,0.9321,0.98864,0.96779,0.76138,0.59604,24.256,0.60966,0.000287801,0.000287801,0.000287801
123,2824.06,1.06281,2.0082,0.91366,0.93215,0.98187,0.96735,0.76037,0.59448,25.3175,0.61136,0.000278369,0.000278369,0.000278369
124,2846.03,1.04345,2.09752,0.93388,0.91489,0.9973,0.96924,0.76653,0.58882,26.4654,0.61207,0.000268938,0.000268938,0.000268938
125,2868.02,0.99322,2.03524,0.90659,0.91489,0.9973,0.96924,0.76653,0.58882,26.4654,0.61207,0.000259506,0.000259506,0.000259506
126,2889.91,0.96314,1.98543,0.91045,0.91405,0.99734,0.9683,0.76028,0.59428,26.7009,0.613,0.000250075,0.000250075,0.000250075
127,2912.18,0.93779,1.7946,0.88862,0.93154,0.97717,0.9683,0.75154,0.6001,25.8004,0.61553,0.000240644,0.000240644,0.000240644
128,2934.12,0.9308,1.77336,0.89377,0.93154,0.97717,0.9683,0.75154,0.6001,25.8004,0.61553,0.000231212,0.000231212,0.000231212
129,2956.34,0.99079,1.87478,0.90865,0.9315,0.97049,0.96542,0.75755,0.59622,25.2435,0.61575,0.000221781,0.000221781,0.000221781
130,2978.2,0.96706,1.72883,0.91862,0.9315,0.97049,0.96542,0.75755,0.59622,25.2435,0.61575,0.000212349,0.000212349,0.000212349
131,3000.11,0.92635,1.84589,0.88394,0.93198,0.96893,0.96498,0.76682,0.58822,25.0944,0.61466,0.000202918,0.000202918,0.000202918
